Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Thurston,Washing Machine,Junkie's Promise,2,D2,A3,D3,A4,B4,B4
Thurston,Washing Machine,Saucer-Like,3,F#2,F#2,F#3,F#3,E3,B4
Thurston,Washing Machine,Washind Machine,4,G2,G2,D3,D3,D#3,D#3
Thurston,Washing Machine,Unwind,5,G2,G2,D3,D3,D#3,D#3
Thurston,Washing Machine,Little Trouble Girl,6,E2,G2,D3,G3,E3,D4
Thurston,Washing Machine,No Queens Blues,7,G2,G2,D3,D3,D#3,D#3
Thurston,Washing Machine,Panty Lies,8,F#2,F#2,F#3,F#3,E3,B4
Thurston,Washing Machine,Skip Tracer,10,F#2,F#2,G3,G3,A4,A4
Thurston,Washing Machine,The Diamond Sea,11,E2,G2,D3,G3,E3,D4
Lee,Washing Machine,Becuz,1,A3,F#3,E3,F#3,E3,B4
Lee,Washing Machine,Junkie's Promise,2,D2,A3,A3,D3,D3,A3
Lee,Washing Machine,Saucer-Like,3,F#2,F#2,F#3,F#3,E3,B4
Lee,Washing Machine,Washing Machine Pt1,4,A3,F#3,E3,F#3,E3,B4
Lee,Washing Machine,Washing Machine Pt2,4,G2,G2,C3,G3,C4,D4
Lee,Washing Machine,Unwind,5,G2,G2,C3,G3,C4,D4
Lee,Washing Machine,Little Trouble Girl,6,,,,,,
Lee,Washing Machine,No Queens Blues,7,G2,G2,C3,G3,C4,D4
Lee,Washing Machine,Panty Lies,8,A3,F#3,E3,F#3,E3,B4
Lee,Washing Machine,Skip Tracer,10,A3,F#3,E3,F#3,E3,B4
Lee,Washing Machine,The Diamond Sea,11,E2,E2,B3,B3,E3,F#3
Kim,Washing Machine,Becuz,1,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Junkie's Promise,2,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Saucer-Like,3,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Washing Machine,4,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Unwind,5,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Little Trouble Girl,6,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,No Queens Blues,7,B2,E2,G3,D3,B3,B3
Kim,Washing Machine,Panty Lies,8,,,,,,
Kim,Washing Machine,Skip Tracer,10,,,,,,
Kim,Washing Machine,The Diamond Sea,11,,,,,,
Thurston,A Thousand Leaves,Contre le sexisme,1,,,,,,
Thurston,A Thousand Leaves,Sunday,2,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,Female Mechanic Now on Duty,3,E2,G2,D3,G3,E3,D4
Thurston,A Thousand Leaves,Wildflower Soul,4,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,Hoarfrost,5,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,French Tickler,6,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,Hits of Sunshine,7,E2,G2,D3,G3,E3,D4
Thurston,A Thousand Leaves,Karen Koltrane,8,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,The Ineffable Me,9,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,"Snare, Girl",10,C2,G2,D3,G3,B4,B4
Thurston,A Thousand Leaves,Heather Angel,11,C2,G2,D3,G3,B4,B4
Lee,A Thousand Leaves,Contre le sexisme,1,G2,G2,D3,A4,G3,A4
Lee,A Thousand Leaves,Sunday,2,G2,G2,D3,G3,G3,A4
Lee,A Thousand Leaves,Female Mechanic Now on Duty,3,G2,G2,D3,G3,G3,A4
Lee,A Thousand Leaves,Wildflower Soul,4,G2,G2,D3,A4,G3,A4
Lee,A Thousand Leaves,Hoarfrost,5,G2,G2,D3,E3,G3,B4
Lee,A Thousand Leaves,French Tickler,6,C2,C2,G2,D3,G3,D4
Lee,A Thousand Leaves,Hits of Sunshine,7,E2,E2,B3,B3,E3,F#3
Lee,A Thousand Leaves,Karen Koltrane,8,G2,G2,D3,A4,G3,A4
Lee,A Thousand Leaves,The Ineffable Me,9,G2,G2,D3,A4,G3,A4
Lee,A Thousand Leaves,"Snare, Girl",10,G2,G2,D3,A4,G3,A4
Lee,A Thousand Leaves,Heather Angel,11,G2,G2,D3,A4,G3,A4
Kim,A Thousand Leaves,Contre le sexisme,1,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,Sunday,2,,,,,,
Kim,A Thousand Leaves,Female Mechanic Now on Duty,3,D2,A3,D3,G3,G3,B4
Kim,A Thousand Leaves,Wildflower Soul,4,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,Hoarfrost,5,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,French Tickler,6,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,Hits of Sunshine,7,,,,,,
Kim,A Thousand Leaves,Karen Koltrane,8,D2,A3,D3,G3,G3,B4
Kim,A Thousand Leaves,The Ineffable Me,9,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,"Snare, Girl",10,C2,G2,G2,D3,D3,D3
Kim,A Thousand Leaves,Heather Angel,11,C2,G2,G2,D3,D3,D3
Thurston,NYC Ghosts & Flowers,Free City Rhymes,1,C2,G2,D3,G3,B4,B4
Thurston,NYC Ghosts & Flowers,Renegade Princess,2,C2,G2,D3,G3,B4,B4
Thurston,NYC Ghosts & Flowers,Nevermind (What Was It Anyway),3,F1,G1,C3,F3,A4,F#3
Thurston,NYC Ghosts & Flowers,Small Flowers Crack Concrete,4,F1,G1,C3,F3,A4,F#3
Thurston,NYC Ghosts & Flowers,Side2Side,5,F1,G1,C3,F3,A4,F#3
Thurston,NYC Ghosts & Flowers,StreamXSonik Subway,6,F1,G1,C3,F3,A4,F#3
Thurston,NYC Ghosts & Flowers,NYC Ghosts & Flowers,7,F1,G1,C3,F3,A4,F#3
Thurston,NYC Ghosts & Flowers,Lightnin,8,F1,G1,C3,F3,A4,F#3
Lee,NYC Ghosts & Flowers,Free City Rhymes,1,C2,G2,C3,C3,G3,A#4
Lee,NYC Ghosts & Flowers,Renegade Princess,2,C2,G2,C3,C3,G3,A#4
Lee,NYC Ghosts & Flowers,Nevermind (What Was It Anyway),3,D2,F2,C3,D3,F3,F3
Lee,NYC Ghosts & Flowers,Small Flowers Crack Concrete,4,D2,F2,C3,D3,F3,F3
Lee,NYC Ghosts & Flowers,Side2Side,5,C2,G2,C3,C3,G3,A#4
Lee,NYC Ghosts & Flowers,StreamXSonik Subway,6,D2,F2,C3,D3,F3,F3
